Date,Open,High,Low,Close,Volume
31-Dec-13,4.04,4.13,3.96,4.09,30735
30-Dec-13,4.05,4.05,3.84,3.90,14646
27-Dec-13,4.02,4.05,3.99,4.05,5047
26-Dec-13,3.99,4.04,3.70,4.01,6309
24-Dec-13,3.90,3.97,3.84,3.95,13592
23-Dec-13,3.96,3.97,3.64,3.92,29745
20-Dec-13,4.04,4.08,3.84,3.84,65905
19-Dec-13,3.98,4.05,3.98,4.01,25143
18-Dec-13,4.01,4.05,4.00,4.00,9911
17-Dec-13,4.02,4.04,3.95,3.98,6560
16-Dec-13,4.04,4.05,4.01,4.04,22950
13-Dec-13,4.02,4.04,4.00,4.04,6776
12-Dec-13,4.02,4.04,4.00,4.04,21254
11-Dec-13,4.00,4.04,4.00,4.04,8014
10-Dec-13,4.04,4.04,4.01,4.04,6392
9-Dec-13,4.00,4.03,4.00,4.03,4387
6-Dec-13,4.00,4.04,4.00,4.02,9600
5-Dec-13,4.04,4.04,4.00,4.00,4739
4-Dec-13,4.02,4.04,4.02,4.04,900
3-Dec-13,4.03,4.04,4.03,4.03,2487
2-Dec-13,4.00,4.04,4.00,4.01,1209
29-Nov-13,4.00,4.00,4.00,4.00,200
27-Nov-13,4.01,4.02,4.01,4.02,4876
26-Nov-13,4.01,4.05,4.01,4.02,2900
25-Nov-13,4.04,4.07,4.00,4.00,7150
22-Nov-13,4.03,4.05,4.03,4.04,1900
21-Nov-13,4.05,4.07,4.05,4.05,15855
20-Nov-13,4.05,4.05,4.04,4.05,6367
19-Nov-13,4.03,4.04,4.02,4.02,1900
18-Nov-13,4.03,4.07,4.01,4.03,6208
15-Nov-13,4.02,4.03,4.02,4.03,3605
14-Nov-13,4.04,4.07,4.01,4.03,17754
13-Nov-13,4.04,4.05,4.03,4.04,1100
12-Nov-13,4.03,4.06,4.00,4.04,14612
11-Nov-13,4.04,4.04,4.03,4.04,2090
8-Nov-13,3.77,4.04,3.77,4.02,798
7-Nov-13,3.94,4.04,3.94,4.02,3930
6-Nov-13,4.04,4.05,3.97,4.04,9998
5-Nov-13,4.05,4.06,4.05,4.05,5140
4-Nov-13,4.04,4.05,4.01,4.05,5410
31-Oct-13,4.03,4.05,4.03,4.05,2501
30-Oct-13,4.05,4.06,4.00,4.05,3691
29-Oct-13,4.05,4.07,4.03,4.06,11289
28-Oct-13,4.03,4.04,4.03,4.04,1200
25-Oct-13,4.00,4.04,4.00,4.04,2750
24-Oct-13,4.05,4.05,3.97,4.05,6041
23-Oct-13,4.04,4.06,4.04,4.06,2900
22-Oct-13,4.05,4.05,4.04,4.04,1900
21-Oct-13,3.99,4.05,3.99,4.04,5519
18-Oct-13,4.04,4.07,4.04,4.04,4748
17-Oct-13,4.05,4.07,4.03,4.04,12912
16-Oct-13,4.03,4.04,3.97,4.04,3197
15-Oct-13,4.05,4.05,3.99,4.03,10758
14-Oct-13,4.00,4.06,4.00,4.06,10944
11-Oct-13,3.90,4.04,3.90,4.03,5872
10-Oct-13,4.00,4.06,3.96,4.04,9082
9-Oct-13,4.04,4.04,4.01,4.04,28985
8-Oct-13,3.98,4.07,3.91,4.06,12704
7-Oct-13,3.96,4.04,3.96,3.97,17143
4-Oct-13,4.00,4.05,4.00,4.03,8472
3-Oct-13,4.00,4.00,3.90,4.00,3984
2-Oct-13,4.00,4.00,3.96,4.00,4958
1-Oct-13,4.03,4.04,3.96,4.00,13719
30-Sep-13,4.03,4.05,3.90,4.05,8272
27-Sep-13,4.04,4.05,4.03,4.05,8461
26-Sep-13,4.05,4.05,4.02,4.03,9002
25-Sep-13,4.03,4.05,4.01,4.01,7777
24-Sep-13,3.99,4.05,3.92,4.04,10377
23-Sep-13,4.00,4.04,3.90,4.03,15209
20-Sep-13,3.91,4.04,3.91,4.04,15183
19-Sep-13,4.03,4.03,3.95,4.01,5206
18-Sep-13,4.01,4.03,3.83,4.03,16825
17-Sep-13,3.93,4.02,3.93,4.01,17533
16-Sep-13,3.92,3.97,3.75,3.94,17077
13-Sep-13,3.90,3.96,3.87,3.93,4730
12-Sep-13,3.86,3.94,3.79,3.94,7601
11-Sep-13,3.86,3.96,3.86,3.89,18250
10-Sep-13,3.94,3.95,3.89,3.90,12686
9-Sep-13,3.83,3.94,3.75,3.94,24449
6-Sep-13,3.94,3.94,3.80,3.82,16525
5-Sep-13,3.94,3.94,3.81,3.89,5307
4-Sep-13,3.90,3.94,3.79,3.93,14410
3-Sep-13,3.87,3.94,3.87,3.94,600
30-Aug-13,3.93,3.94,3.80,3.90,8783
29-Aug-13,3.75,3.93,3.75,3.93,880
28-Aug-13,3.79,3.90,3.79,3.87,6554
27-Aug-13,3.89,3.90,3.77,3.82,8288
26-Aug-13,3.93,3.93,3.83,3.92,10178
23-Aug-13,3.88,3.94,3.57,3.91,42815
22-Aug-13,3.80,3.94,3.69,3.82,53552
21-Aug-13,3.71,3.80,3.71,3.80,1525
20-Aug-13,3.80,3.80,3.78,3.80,2013
